SAF,5.65
SAF_SharpSAT-TD,6.040000000000001
fASP_conj,66.6
fASP_src,113.75
AEON,17.6
Hybrid_BMSA,3.05
Tseitin_SharpSAT-TD,3.2
PI_SharpSAT-TD,3.8899999999999997
Hybrid_SharpSAT-TD,3.61
PyBoolNet,40.78
SAF,6.42
SAF_SharpSAT-TD,7.42
fASP_conj,2.58
fASP_src,1.52
AEON,0.17
Hybrid_BMSA,2.7
Tseitin_SharpSAT-TD,3.1399999999999997
PI_SharpSAT-TD,4.05
Hybrid_SharpSAT-TD,3.83
PyBoolNet,0.09
SAF,2.41
SAF_SharpSAT-TD,3.45
fASP_conj,0.09
fASP_src,0.09
AEON,0.01
Hybrid_BMSA,1.6800000000000002
Tseitin_SharpSAT-TD,2.56
PI_SharpSAT-TD,2.7
Hybrid_SharpSAT-TD,2.6799999999999997
SAF,31.06
SAF_SharpSAT-TD,17.54
AEON,1.55
Hybrid_BMSA,34.05
Tseitin_SharpSAT-TD,3.67
PI_SharpSAT-TD,5.23
Hybrid_SharpSAT-TD,4.6000000000000005
PyBoolNet,0.28
SAF,3.0600000000000005
SAF_SharpSAT-TD,3.14
fASP_conj,0.09999999999999999
fASP_src,0.09999999999999999
AEON,0.02
Hybrid_BMSA,1.9100000000000001
Tseitin_SharpSAT-TD,1.6600000000000001
PI_SharpSAT-TD,1.87
Hybrid_SharpSAT-TD,1.8900000000000001
PyBoolNet,0.09999999999999999
SAF,2.8099999999999996
SAF_SharpSAT-TD,3.9099999999999997
fASP_conj,0.1
fASP_src,0.09
AEON,0.03
Hybrid_BMSA,1.8199999999999998
Tseitin_SharpSAT-TD,2.6999999999999997
PI_SharpSAT-TD,2.88
Hybrid_SharpSAT-TD,2.81
PyBoolNet,0.09
SAF,2.16
SAF_SharpSAT-TD,2.17
fASP_conj,0.09000000000000001
fASP_src,0.08
AEON,0.01
Hybrid_BMSA,1.58
Tseitin_SharpSAT-TD,1.47
PI_SharpSAT-TD,1.54
Hybrid_SharpSAT-TD,1.55
PyBoolNet,0.09999999999999999
SAF,3.3599999999999994
SAF_SharpSAT-TD,4.42
fASP_conj,0.09999999999999999
